Vernacular;Family;Genus;Species
pulu;Moraceae;Trymatococcus;oligandrus
busi mango;Clusiaceae;Tovomita;obovata
topi;Melastomataceae;Votomita;guianensis
meli;Dichapetalaceae;Tapura;capitulifera
baaka koko;Chrysobalanaceae;Licania;membranacea
Moronobea;Clusiaceae;Moronobea;coccinea
weko;Celastraceae;Maytenus;oblongata
Hevea;Euphorbiaceae;Hevea;guianensis
lebi koko;Chrysobalanaceae;Licania;alba
carapa;Meliaceae;Carapa;surinamensis
muamba;Annonaceae;Oxandra;asbeckii
akoinsiba;Sapotaceae;Chrysophyllum;argenteum
muamba;Annonaceae;Oxandra;asbeckii
ang‚lique;Fabaceae;Dicorynia;guianensis
lebi koko;Chrysobalanaceae;Licania;alba
tatu udu;Sapindaceae;Talisia;simaboides
-;Celastraceae;Maytenus;oblongata
aganananga;Malvaceae;Catostemma;fragrans
busi mango;Clusiaceae;Tovomita;sp.5CAY-ATDN
maho rouge;Lecythidaceae;Lecythis;persistens
weti paya;Moraceae;Brosimum;rubescens
mapa;Apocynaceae;Parahancornia;fasciculata
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
carapa;Meliaceae;Carapa;surinamensis
busi mango;Clusiaceae;Tovomita;obovata
aso udu;Annonaceae;Unonopsis;rufescens
busi mango;Clusiaceae;Tovomita;obovata
lebi koko;Chrysobalanaceae;Licania;alba
wapa;Fabaceae;Eperua;falcata
maho noir;Lecythidaceae;Eschweilera;coriacea
busi banda;Myrtaceae;Eugenia;sp.FG21-Holst
lebi koko;Chrysobalanaceae;Licania;alba
manil;Clusiaceae;Symphonia;sp.1
weti pedieku;Annonaceae;Guatteria;schomburgkiana
wapa;Fabaceae;Eperua;falcata
win udu;Phyllanthaceae;Hieronyma;oblonga
boliken koko;Chrysobalanaceae;Licania;heteromorpha
busi mango;Clusiaceae;Tovomita;obovata
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
mesupu;Melastomataceae;Miconia;acuminata
muamba;Annonaceae;Oxandra;asbeckii
weko;Fabaceae;Inga;marginata
wapa;Fabaceae;Eperua;falcata
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
koko;Chrysobalanaceae;Licania;sprucei
busi cacao;Malvaceae;Theobroma;subincanum
ang‚lique;Fabaceae;Dicorynia;guianensis
topi;Melastomataceae;Mouriri;crassifolia
busi mango;Clusiaceae;Tovomita;sp.11CAY-ATDN
wapa;Fabaceae;Eperua;falcata
kodia weko;Fabaceae;Inga;Indet.
pedieku;Annonaceae;Xylopia;Indet.
weko;Fabaceae;Inga;Indet.
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
comou;Arecaceae;Oenocarpus;bacaba
baaka koko;Chrysobalanaceae;Licania;membranacea
patawa;Arecaceae;Oenocarpus;bataua
wapa;Fabaceae;Eperua;falcata
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
-;Lecythidaceae;Gustavia;hexapetala
aganananga;Malvaceae;Catostemma;fragrans
boliken koko;Chrysobalanaceae;Licania;heteromorpha
santi koko;Chrysobalanaceae;Licania;membranacea
maho noir;Lecythidaceae;Eschweilera;sagotiana
aso udu;Annonaceae;Unonopsis;rufescens
wapa;Fabaceae;Eperua;falcata
encens;Burseraceae;Protium;opacum
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
kakabuku;Fabaceae;Swartzia;panacoco
wan ede;Simaroubaceae;Simaba;cedron
boliken koko;Chrysobalanaceae;Licania;heteromorpha
maho noir;Indet.;Indet.Indet.;Indet.
busi mango;Clusiaceae;Tovomita;obovata
busi mango;Clusiaceae;Tovomita;obovata
-;Indet.;Indet.Indet.;Indet.
aso udu;Annonaceae;Unonopsis;rufescens
busi mango;Clusiaceae;Tovomita;sp.11 CAY-ATDN
boliken koko;Chrysobalanaceae;Licania;heteromorpha
kimboto;Sapotaceae;Pradosia;cochlearia
mesupu;Melastomataceae;Miconia;tschudyoides
manil;Clusiaceae;Symphonia;sp.1
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
ang‚lique;Fabaceae;Dicorynia;guianensis
moutouchi mar‚cage;Fabaceae;Pterocarpus;officinalis
kukuniefu;Clusiaceae;Garcinia;madruno
wapa;Fabaceae;Eperua;falcata
tossopassa mar‚cage;Myristicaceae;Iryanthera;hostmannii
koko;Chrysobalanaceae;Licania;alba
kukuniefu;Clusiaceae;Garcinia;madruno
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
kukuniefu;Clusiaceae;Garcinia;benthamiana
mesupu;Melastomataceae;Miconia;acuminata
tupiki weko;Olacaceae;Chaunichiton;kappleri
koko;Indet.;Indet.Indet.;Indet.
muamba;Annonaceae;Oxandra;asbeckii
santi koko;Chrysobalanaceae;Licania;canescens
weti pedieku;Annonaceae;Xylopia;nitida
weko;Fabaceae;Inga;Indet.
pindia udu;Hypericaceae;Vismia;latifolia
weko;Fabaceae;Inga;Indet.
diagidia;Fabaceae;Tachigali;melinonii
manil;Clusiaceae;Symphonia;sp.1
bois canon;Urticaceae;Cecropia;obtusa
weko;Fabaceae;Inga;stipularis
manil;Clusiaceae;Symphonia;sp.1
maho cigare;Lecythidaceae;Couratari;multiflora
